Date,Time,Open,Close,Mean Value,5 Day SMA,15 Day SMA,30 Day SMA,Adva,Decl,AvgGain,AvgLoss,RSI
2010.10.04,0:00,1.3787,1.3754,1.3767,1.37445,1.3665,1.358561667,0,0.0033,0.00186,0.00098,65.49118
2010.10.04,4:00,1.3754,1.3762,1.37595,1.37569,1.367476667,1.35954,0.0008,0,0.00191,0.00091,67.67677
2010.10.04,8:00,1.3763,1.3684,1.37245,1.37547,1.368093333,1.360453333,0,0.0079,0.00191,0.00137,58.26087
2010.10.04,12:00,1.3684,1.3704,1.37005,1.37456,1.368623333,1.361205,0.002,0,0.00206,0.00117,63.71681
2010.10.04,16:00,1.3704,1.3688,1.36935,1.3729,1.3693,1.361958333,0,0.0016,0.00146,0.00129,53.24675
2010.10.04,20:00,1.3688,1.3674,1.3682,1.3712,1.36974,1.362698333,0,0.0014,0.00146,0.00116,55.70652
2010.10.05,0:00,1.3674,1.3661,1.36625,1.36926,1.36983,1.363451667,0,0.0013,0.00146,0.00121,54.81283
2010.10.05,4:00,1.366,1.37,1.36735,1.36824,1.370213333,1.364181667,0.004,0,0.00171,0.00121,58.67971
2010.10.05,8:00,1.3701,1.3775,1.3737,1.36897,1.370956667,1.365185,0.0074,0,0.00207,0.00121,63.18083
2010.10.05,12:00,1.3775,1.3797,1.37885,1.37087,1.37194,1.36623,0.0022,0,0.00223,0.00111,66.80942
2010.10.05,16:00,1.3797,1.3855,1.38175,1.37358,1.373076667,1.36721,0.0058,0,0.00194,0.00111,63.70023
2010.10.05,20:00,1.3855,1.3833,1.38415,1.37716,1.374036667,1.368101667,0,0.0022,0.00191,0.00126,60.13514
2010.10.06,0:00,1.3833,1.383,1.38415,1.38052,1.374743333,1.368988333,0,0.0003,0.00177,0.00129,57.94393
2010.10.06,4:00,1.383,1.3841,1.3839,1.38256,1.375363333,1.369836667,0.0011,0,0.00166,0.00129,56.41646
2010.10.06,8:00,1.3841,1.3866,1.38505,1.3838,1.375856667,1.370653333,0.0025,0,0.00184,0.00105,63.7037
2010.10.06,12:00,1.3866,1.3874,1.3841,1.38427,1.37635,1.371425,0.0008,0,0.00184,0.00105,63.7037
2010.10.06,16:00,1.3875,1.3931,1.39055,1.38555,1.377323333,1.3724,0.0056,0,0.00224,0.00049,82.19895
2010.10.06,20:00,1.3931,1.3925,1.39305,1.38733,1.378696667,1.373395,0,0.0006,0.0021,0.00053,79.8913
2010.10.07,0:00,1.3924,1.3911,1.3917,1.38889,1.38014,1.374381667,0,0.0013,0.0021,0.00051,80.54795
2010.10.07,4:00,1.3911,1.3923,1.3917,1.39022,1.38163,1.375465,0.0012,0,0.00219,0.00041,84.29752
2010.10.07,8:00,1.3923,1.3966,1.3955,1.3925,1.38345,1.376595,0.0043,0,0.00249,0.00031,88.80407
2010.10.07,12:00,1.3967,1.3942,1.398,1.39399,1.385566667,1.377698333,0,0.0025,0.00221,0.00049,81.74603
2010.10.07,16:00,1.3941,1.3899,1.3902,1.39342,1.38709,1.378651667,0,0.0042,0.00168,0.00079,67.91908
2010.10.07,20:00,1.3898,1.3913,1.39115,1.39331,1.388253333,1.379605,0.0015,0,0.00163,0.00079,67.25664
2010.10.08,0:00,1.3916,1.3916,1.3916,1.39329,1.389103333,1.380521667,0,0,0.00121,0.00079,60.49822
2010.10.08,4:00,1.3916,1.393,1.39375,1.39294,1.389903333,1.38149,0.0014,0,0.00131,0.00064,67.39927
